method,control,mean_err,median_err,max_err,time_s,mem_mb
Tsit5,1.0e-5,0.0006504253308102564,1.5733481487645307e-5,0.9998548479695644,0.0240538,3.5614986419677734
Tsit5,3.162277660168379e-6,1.0223741740806036e-5,6.177607087320958e-6,0.0002452748682646444,0.0321673,3.561483383178711
Tsit5,1.0e-6,4.512112665876339e-6,2.9489372802560254e-6,0.00023369957611696357,0.0298072,3.5614681243896484
Tsit5,3.162277660168379e-7,2.0285917489486215e-6,1.3697235091703064e-6,1.9717043744371665e-5,0.0580597,3.5614986419677734
Tsit5,1.0000000000000001e-7,9.864975859007196e-7,6.363111395568666e-7,9.702095387531529e-6,0.0744666,3.561483383178711
Tsit5,3.162277660168379e-8,4.2327952888568385e-7,2.6756014848139387e-7,3.0652857470059303e-6,0.0904971,3.5615291595458984
Tsit5,1.0e-8,2.017287277820967e-7,1.3438856427683277e-7,2.5921501438652683e-6,0.1145776,3.5614986419677734
Tsit5,3.1622776601683795e-9,9.10134187664946e-8,6.324722745532085e-8,9.00030838302257e-7,0.1538009,3.5614986419677734
Tsit5,1.0e-9,4.3360562641397984e-8,3.367298473389013e-8,3.3266575893975414e-7,0.2076994,3.5614986419677734
Tsit5,3.1622776601683795e-10,1.923794346575525e-8,1.0026418584274666e-8,1.2981210684159805e-7,0.2675589,3.5614986419677734
Tsit5,1.0e-10,7.882158630095893e-9,2.489417894047108e-9,5.8660515334096885e-8,0.3268265,3.5614986419677734
Tsit5,3.1622776601683794e-11,2.6756159646201814e-9,8.632654591167466e-10,1.6621715559494987e-8,0.4171518,3.561513900756836
Tsit5,1.0e-11,1.3986601113402664e-9,7.080189767805223e-10,1.4427118610882417e-8,0.5297256,3.561513900756836
Vern9,0.1,0.050256996737903264,0.001521991968924663,2.0522948981872435,0.0230477,3.610342025756836
Vern9,0.03162277660168379,0.032922316595529466,0.0006667987290942534,0.9989848120393212,0.0167255,3.6103267669677734
Vern9,0.010000000000000002,0.018377050221317377,0.0003201980746010413,0.9998583581561498,0.0313171,3.610342025756836
Vern9,0.0031622776601683794,0.008122951439261868,0.00010834899728473513,0.9998624405360532,0.0339955,3.610311508178711
Vern9,0.001,0.0021635077736674568,4.013224379995073e-5,0.9962483719788477,0.0257197,3.6103267669677734
Vern9,0.00031622776601683794,0.0007287582496582831,1.5020945023147547e-5,0.9986953642699148,0.0469124,3.6103572845458984
Vern9,0.0001,0.0006411303711701061,4.765163941877759e-6,0.9985838111859158,0.0524166,3.610311508178711
Vern9,3.1622776601683795e-5,4.430516022436437e-6,1.2573652299341376e-6,0.00015179175163071434,0.0686091,3.6103572845458984
Vern9,1.0e-5,1.6258879583821994e-6,4.423044467349868e-7,0.00038050650832621713,0.0593533,3.6103572845458984
Vern9,3.162277660168379e-6,3.587258743689703e-7,2.101830570699903e-7,1.4312334514432479e-5,0.0907877,3.610311508178711
